cpt_code,description,category,fee_low,fee_high
99213,"Office visit, established patient, low complexity",E&M,75,150
99214,"Office visit, established patient, moderate complexity",E&M,110,200
99215,"Office visit, established patient, high complexity",E&M,150,275
99281,"Emergency department visit, minor",E&M,50,150
99283,"Emergency department visit, moderate",E&M,150,400
99285,"Emergency department visit, high severity",E&M,300,800
99221,"Initial hospital care, low complexity",E&M,150,300
99223,"Initial hospital care, high complexity",E&M,250,500
27447,Total knee replacement,Surgery,1500,3500
27130,Total hip replacement,Surgery,1500,3500
47562,Laparoscopic cholecystectomy,Surgery,800,2000
44970,Laparoscopic appendectomy,Surgery,700,1800
33533,"CABG, single arterial graft",Surgery,3000,7000
49505,Inguinal hernia repair,Surgery,500,1500
71046,"Chest X-ray, 2 views",Radiology,30,100
74177,CT abdomen and pelvis with contrast,Radiology,200,600
70553,MRI brain with and without contrast,Radiology,300,800
76856,Pelvic ultrasound,Radiology,100,300
77065,Diagnostic mammography,Radiology,100,250
93000,"Electrocardiogram (ECG), complete",Cardiology,25,75
93306,Transthoracic echocardiography,Cardiology,200,500
93458,Left heart catheterization,Cardiology,500,1500
92928,Percutaneous coronary stent placement,Cardiology,2000,5000
80053,Comprehensive metabolic panel,Laboratory,15,50
85025,Complete blood count (CBC),Laboratory,10,35
84443,Thyroid stimulating hormone (TSH),Laboratory,20,60
83036,Hemoglobin A1c,Laboratory,15,50
80061,Lipid panel,Laboratory,15,50
00140,Anesthesia for procedures on eye,Anesthesia,200,600
00400,Anesthesia for procedures on integumentary system,Anesthesia,200,500
01402,Anesthesia for total knee replacement,Anesthesia,400,1000
